world_rank,total_score,alumni,award,hici,ns,pub,pcp
1,100,100,100,100,100,100,72.4
2,73.6,99.8,93.4,53.3,56.6,70.9,66.9
3,73.4,41.1,72.2,88.5,70.9,72.3,65
4,72.8,71.8,76,69.4,73.9,72.2,52.7
5,70.1,74,80.6,66.7,65.8,64.3,53
6,67.1,59.2,68.6,59.8,65.8,52.5,100
7,62.3,79.4,60.6,56.1,54.2,69.5,45.4
8,60.9,63.4,76.8,60.9,48.7,48.5,59.1
9,60.1,75.6,81.9,50.3,44.7,56.4,42.2
10,59.7,64.3,59.1,48.4,55.6,68.4,53.2
11,56.9,52.1,44.5,60.3,57.2,63.9,49.3
12,54.6,46.5,52.4,55,48.8,66.3,39.8
13,51,17.7,34.7,59.8,56.5,64.5,46.6
14,50.6,27.3,32.8,56.7,50.1,75.6,34.3
15,50.2,35.5,35.1,56.7,42.9,71.8,39.1
16,49.2,43,36.3,52.1,46.3,68.7,29
17,48.4,28.8,32.4,53.9,47.1,73.8,27.2
18,47.8,0,37.6,55.6,57.9,58.8,45.2
19,46.9,51.4,28.3,41.6,52.2,67.7,24.9
20,46.7,36,14.4,38.5,52.1,86.5,34.7
21,44.9,43,0,61.9,43,76.5,30.9
22,43.8,39.7,34.1,34.2,37,72.3,31.1
23,43.7,20.8,38.1,40.8,38.2,64.6,40.3
24,43.1,28.1,19.7,39.3,38.9,76.7,41.9
25,42.8,41.6,37.4,44.4,34.1,58,26
26,42.6,30.7,32.9,37.7,41.5,60.5,38.8
27,41.7,40.2,37,35.1,41.1,43.4,52.4
28,40.7,25.1,26.6,38.5,46.5,53.9,39.9
29,38.8,33.8,25,43,35.3,55.4,26.3
30,38.2,22.6,59.8,28.3,44.1,24,35.9
31,37.9,21.7,19.3,44.4,33.8,57.6,36.2
32,37.7,20.8,0,47.1,45.3,60.8,38.9
32,37.7,36,0,49.7,35.2,68.4,23.8
34,36.9,0,36,42.3,39,44.1,35.8
35,36.3,16.6,29.8,40.8,36.6,46.3,29.5
36,35.5,21.7,17.1,49.1,30,54.8,21.7
37,35.4,20.8,19.3,32.4,32.5,60.4,33.9
38,34.8,24.3,33.9,31.4,38.2,37.9,31
39,33.4,14,0,45.8,37.9,59.9,24
39,33.4,12.5,30.2,34.2,24.5,49.2,35.6
41,32.9,0,0,46.5,34.5,64,29.8
41,32.9,30.7,21.4,27.2,27.3,55.7,25.9
43,32.3,15.4,20.4,36.9,32.9,47.1,24.1
43,32.3,25.1,0,40.1,25.9,64.3,28.2
45,32.1,30.7,27.8,33.3,19.7,47.3,25.1
46,32,35.7,23.9,23.6,24.2,51.2,30
47,31.8,22.6,17.1,26.1,35.8,49.4,29.9
47,31.8,0,30,32.4,28.5,48.2,31.1
47,31.8,25.9,0,40.8,33.6,54.6,25.6
50,31.7,0,27.3,37.7,23.6,52.8,25.8
51,31.4,37.1,21.1,15.7,30.4,51.9,30
52,31.3,43,24.1,24.8,20.7,46.5,29.2
53,31.2,27.3,19.3,23.6,22.6,57.3,30.4
54,30.8,30.7,33.5,32.4,14.7,38.3,31.4
55,30.3,12.5,0,35.1,32.8,59.5,27.3
56,30.2,17.7,12.9,36.9,29,45.1,27.8
57,30,30.7,24.7,23.6,22.8,45.7,27.7
57,30,15.4,0,35.1,25,65.2,25.8
57,30,12.5,27.3,19.2,30.3,47.2,30.6
60,29.9,25.9,32.9,11.1,28.7,49.1,21.6
61,29.4,33.2,34.2,13.6,19.6,44.9,27.9
62,29.3,12.5,0,23.6,31.1,66.8,29.2
63,29.2,17.7,0,40.8,21.5,61.2,19.5
64,28.8,10.9,18.2,30.4,24.5,47.5,27.4
65,28.6,23.5,14.4,23.6,29.2,46.6,27.1
65,28.6,33.2,9.1,27.2,25.3,43,36.1
67,28.4,28.8,0,28.3,23.6,56.8,30
67,28.4,51.4,34.9,0,7.5,54,31.6
69,28.3,40.7,11.8,20.8,23,44.8,33.7
69,28.3,25.9,34.1,17.6,18.2,41.5,26.4
71,28,10.9,27.7,20.8,20.9,48.1,26.9
72,27.9,25.1,15.8,27.2,19.3,46.7,28.1
73,27.8,18.8,0,19.2,26.9,65.3,29
73,27.8,0,0,29.4,36.8,55.8,25.7
75,27.7,18.8,17.1,27.2,21.4,49.8,19.4
76,27.4,18.8,18.2,15.7,21.4,54.5,27.5
77,26.9,12.5,0,37.7,26.6,51,18.7
78,26.2,21.7,22.3,23.6,24.4,30.8,31
78,26.2,33.2,0,23.6,27.1,46.6,26.9
80,26.1,15.4,0,31.4,28.1,50.8,17.5
80,26.1,16.6,23.5,20.8,17.4,44.6,24.8
82,26,15.4,14.4,22.2,18.7,53.5,19.9
83,25.9,15.4,20.4,20.8,19,45.6,24.8
84,25.8,38.7,20.4,15.7,17.5,40.2,24.5
85,25.6,25.1,15.8,7.9,22.7,52.2,26.4
86,25.4,0,13.9,29.4,25.5,40.7,27.9
87,25.2,14,18.2,24.8,21.2,42,18.2
87,25.2,25.9,17.5,19.2,21.4,34.5,33.8
89,25.1,0,0,32.4,24.4,55,20.4
90,24.9,16.6,19.3,22.2,15.9,43.5,23.9
90,24.9,25.1,21.4,17.6,18.2,39.5,23.2
92,24.7,29.4,22.9,19.2,19.5,32.7,22.4
93,24.6,47.8,25,13.6,18.1,27.2,23.3
93,24.6,29.4,30.2,15.7,14.3,35.3,18.9
93,24.6,16.6,0,22.2,22.5,50.6,31.5
93,24.6,0,0,30.4,31.4,45.5,24.8
97,24.5,16.6,15.8,11.1,21.8,54.6,15.1
98,24.4,25.1,11.2,22.2,13.4,47,24.5
99,24.3,29.4,0,24.8,19.4,50.1,18.1
